211;n/a (missing from di.fm forums)
212;n/a (missing from di.fm forums)
213;n/a (missing from di.fm forums)
214;n/a (missing from di.fm forums)
228;Top 20 of 2005
229;Year Mix 2005
250;8 hour show. Live from Asta, The Hague, The Netherlands
259;Live from Armada Night at Amnesia
279;Live from Mexico
280;Top 20 of 2006
281;Year Mix 2006
282;Rebroadcast of Episode 274
300;Part 2: 7 hour show. Live from Pettelaarse Schans in Den Bosch
323;Hour 1 - Newest Tunes Selected, Hour 2 - Live from Amsterdam Dance Event
331;Top 20 of 2007
332;Year Mix 2007
333;Live at the Sand Amsterdam, The Netherlands
340;Live from Club Colors, Studio 51, Helsinki, Finland
348;"Armin van Buuren's Imagine Album Release Special"
350;Live anniversary edition from Noxx Club in Antwerp, Belgium
353;Live from Godskitchen, Air Birmingham
358;Start of Summer Special
359;5 hour show. Live from Amnesia, Ibiza
365;Live from Amnesia, Ibiza
370;Hour 1 - Newest Tunes Selected, Hour 2 - Live from Ibiza - Summer Closing Set
